mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.4318740367889404,0.012357670661744286,0.47936105728149414,0.0033174493635463272,entropy,30,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 1000}",0.8098220826792255,0.8005145876599451,0.8326216156724631,0.8143194286705446,0.013487893402934315,37
2.0460209051767984,0.00633888929611859,0.14571650822957358,0.001547818120398363,entropy,50,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 100}",0.8090381998953428,0.7999085130970724,0.8304351016215423,0.8131272715379859,0.012793449675767019,57
2.2034690380096436,0.011363707278549757,0.180099884668986,0.005889324950144331,entropy,50,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 200}",0.8093867085295656,0.8003240771755877,0.8308229300965377,0.8135112386005637,0.012788114758200565,49
2.63596510887146,0.006591385962097648,0.2909046808878581,0.001052555829657855,entropy,50,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 500}",0.8093615907901622,0.7999493367722919,0.8310189407041707,0.8134432894222083,0.013008337580518383,51
3.3816139698028564,0.007166083978973959,0.47353490193684894,0.004790051568613161,entropy,50,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 1000}",0.8091282051282053,0.7996834595029141,0.8309225076779557,0.8132447241030251,0.013081254503376995,53
2.0631450017293296,0.0058282602569400925,0.14556304613749185,0.0007044388121980023,log_loss,15,100,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",0.8104416535845107,0.7996332149795671,0.8329947695565127,0.8143565460401968,0.013898276107784553,32
2.2101422945658364,0.00762884135608486,0.17919023831685385,0.0044523455295290325,log_loss,15,200,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",0.8110894819466247,0.8006527600991491,0.8325105080553021,0.8147509167003587,0.013261060906562276,9
2.6882572174072266,0.01529891451757982,0.292208989461263,0.0014838700209008446,log_loss,15,500,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 500}",0.8114034536891679,0.800767903798486,0.8321436432816578,0.8147716669231038,0.013028632630247207,6
3.5280818939208984,0.03636288814186841,0.4719235897064209,0.005878421372147496,log_loss,15,1000,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 1000}",0.8112171637885923,0.8008160548000268,0.832600651971112,0.8148779568532437,0.013231684416044408,2
2.038519303003947,0.011237232957586513,0.14488983154296875,0.0018494684212179244,log_loss,20,100,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",0.8092004186289901,0.8018178049842567,0.8326425793738143,0.814553600995687,0.01314113389653818,20
2.196380535761515,0.016345439029632484,0.18432378768920898,0.006261667663808787,log_loss,20,200,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",0.8098545264259551,0.8010882126348228,0.8329905768162427,0.8146444386256736,0.013457281901180097,12
2.6808482011159263,0.014203457846312679,0.2897957960764567,0.0020981917058368865,log_loss,20,500,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 500}",0.8098377812663528,0.8008432705835065,0.8324098822888168,0.814363644712892,0.013278436745114235,30
