mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4914284547170003,0.002873763356218271,0.08779009183247884,0.00035907370092908345,gini,30,200,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 200}",0.8137718472004187,0.8052051232665638,0.8325786400846934,0.8171852035172252,0.011432865104811321,2
1.203747272491455,0.026133026538131165,0.19946678479512533,0.0054329613483441695,gini,30,500,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 500}",0.8134201988487704,0.8050125192604006,0.8323019192268587,0.8169115457786766,0.011411104684211618,7
2.4256180127461753,0.03631907558597049,0.38541046778361004,0.0045325035198695695,gini,30,1000,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 1000}",0.8130497121925694,0.8051297564815436,0.8320744630671991,0.8167513105804374,0.011307244763589021,20
0.23166505495707193,0.012711184890732773,0.04656537373860677,0.00038506730404247523,gini,50,100,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 100}",0.8121057038199895,0.8050606702619415,0.8321677515382117,0.8164447085400476,0.011483863615238371,32
0.4494005044301351,0.005553017610875394,0.08765975634256999,0.00041462155485941216,gini,50,200,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 200}",0.8126017791732077,0.8048628324512628,0.8319895600767271,0.8164847239003992,0.011409726340053036,31
1.1302475929260254,0.008048734899816326,0.20319366455078125,0.009769308014178578,gini,50,500,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 500}",0.8125515436944009,0.8053443424666711,0.8321845224992925,0.8166934695534548,0.011342118509117767,24
2.2596413294474282,0.036505080086902765,0.3887527783711751,0.000753849193338059,gini,50,1000,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 1000}",0.8122626896912611,0.805408194881758,0.8321069568042935,0.8165926137924376,0.011321576865746781,26
0.29323824246724445,0.013404295603725159,0.04722460110982259,0.0010593014890992816,entropy,15,100,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 100}",0.8127294610151752,0.8052721159643599,0.8291269666572331,0.8157095145455894,0.009964069271735609,52
0.5611766974131266,0.010391950517653452,0.08858664830525716,0.0005882021130842588,entropy,15,200,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 200}",0.8132391418105704,0.8053432957057681,0.8305734620504596,0.8163852998555994,0.010537680208927244,33
1.4047240416208904,0.015915330687302828,0.19237581888834634,0.0005783745243123944,entropy,15,500,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 500}",0.8127158555729984,0.8045016999397064,0.8299277800488455,0.8157151118538501,0.010594591107659932,50
